day,time,Time,type,theme,nbr likes,nbr share,nbr comment,eng,total.eng
Tuesday,8:32,Avant 9h,text+photo,Identite,29,12,2,43,Engagement intermédiaire
Monday,9:46,9h-11h,text+photo,Identite,80,29,2,111,Engagement fort
Thursday,14:45,14h-17h,text+photo,Identite,90,1,2,93,Engagement fort
Wednesday,16:37,14h-17h,text+photo,Information,172,3,2,177,Engagement fort
Friday,13:16,11h-14h,text+link+photo,Identite,52,2,2,56,Engagement intermédiaire
Thursday,20:20,Après 19h,text+link,Identite,90,2,2,94,Engagement fort
Friday,9:48,9h-11h,text+link,Identite,82,1,2,85,Engagement fort
Tuesday,19:48,Après 19h,text+video,Identite,49,15,2,66,Engagement intermédiaire
Thursday,15:17,14h-17h,text+video,Identite,370,98,25,493,Engagement très fort
Sunday,20:08,Après 19h,text+link,Administration,23,1,11,35,Engagement intermédiaire
Wednesday,17:50,17h-19h,text+photo,Identite,88,1,10,99,Engagement fort
Wednesday,15:22,14h-17h,text+video,Identite,151,9,9,169,Engagement fort
Wednesday,15:00,14h-17h,text+link,Education,420,38,7,465,Engagement très fort
Tuesday,20:00,Après 19h,text+photo,Information,117,6,6,129,Engagement fort
Wednesday,5:17,Avant 9h,text+video,Recherche,32,8,5,45,Engagement intermédiaire
Friday,14:28,14h-17h,text+link+photo,Administration,22,5,5,32,Engagement intermédiaire
Wednesday,9:43,9h-11h,text+video,Identite,268,51,5,324,Engagement très fort
Monday,18:00,17h-19h,text+link,Relation,94,12,5,111,Engagement fort
Saturday,11:09,11h-14h,text+photo ,Identite,24,12,5,41,Engagement intermédiaire
Wednesday,17:15,17h-19h,text+link+photo,Information,66,3,4,73,Engagement intermédiaire
Tuesday,13:32,11h-14h,text+link+photo,Identite,174,14,4,192,Engagement fort
Friday,7:53,Avant 9h,text+video,Identite,110,17,4,131,Engagement fort
Wednesday,12:46,11h-14h,text+link,Information,83,11,4,98,Engagement fort
Wednesday,13:06,11h-14h,text+video,Information,82,9,4,95,Engagement fort
Tuesday,8:25,Avant 9h,link,Identite,117,2,4,123,Engagement fort
Wednesday,13:38,11h-14h,text+video,Identite,67,9,4,80,Engagement intermédiaire
Wednesday,10:33,9h-11h,text+photo,Information,195,7,4,206,Engagement très fort
Friday,14:14,14h-17h,text+video,Identite,54,7,3,64,Engagement intermédiaire
Monday,14:22,14h-17h,text+link+photo,Information,53,3,3,59,Engagement intermédiaire
Wednesday,12:07,11h-14h,text+link+photo,Identite,185,9,3,197,Engagement fort
Sunday,13:01,11h-14h,text+photo,Relation,146,1,3,150,Engagement fort
Tuesday,15:33,14h-17h,text+link+video,Education,27,1,3,31,Engagement intermédiaire
Thursday,9:03,9h-11h,text+photo,Administration,25,3,3,31,Engagement intermédiaire
Wednesday,12:21,11h-14h,text+photo,Identite,40,4,3,47,Engagement intermédiaire
Friday,15:44,14h-17h,text+link,Administration,86,6,3,95,Engagement fort
Thursday,23:08,Après 19h,text+link,Identite,35,1,3,39,Engagement intermédiaire
Monday,11:00,9h-11h,text+link+photo,Identite,91,3,2,96,Engagement fort
Wednesday,14:08,14h-17h,text+link+photo,Identite,67,3,2,72,Engagement intermédiaire
Wednesday,12:25,11h-14h,text+link+photo,Identite,49,3,2,54,Engagement intermédiaire
Thursday,10:46,9h-11h,text+video,Identite,62,6,2,70,Engagement intermédiaire
Wednesday,16:22,14h-17h,text+link+photo,Identite,77,4,2,83,Engagement fort
Wednesday,11:52,11h-14h,text+link,Relation,141,3,2,146,Engagement fort
Wednesday,9:48,9h-11h,text+photo,Identite,79,3,2,84,Engagement fort
Friday,9:59,9h-11h,text+photo,Relation,125,47,2,174,Engagement fort
Friday,8:40,Avant 9h,link,Identite,52,2,2,56,Engagement intermédiaire
Tuesday,9:51,9h-11h,text+link+video,Education,19,0,2,21,engagement faible
Friday,10:51,9h-11h,text+photo,Relation,86,3,2,91,Engagement fort
Tuesday,10:41,9h-11h,text+link,Identite,38,3,2,43,Engagement intermédiaire
Tuesday,19:00,17h-19h,video,Identite,153,3,2,158,Engagement fort
Tuesday,13:55,11h-14h,text+video,Identite,84,4,2,90,Engagement fort
Tuesday,22:10,Après 19h,text+link,Identite,69,6,2,77,Engagement intermédiaire
Wednesday,14:31,14h-17h,text+link+photo,Identite,67,2,2,71,Engagement intermédiaire
Tuesday,19:04,Après 19h,text+link+photo,Identite,22,3,2,27,engagement faible
Friday,13:20,11h-14h,text+link+photo,Recherche,51,3,1,55,Engagement intermédiaire
Monday,16:32,14h-17h,text+link+photo,Identite,60,2,1,63,Engagement intermédiaire
Tuesday,12:26,11h-14h,text+photo,Identite,157,14,1,172,Engagement fort
Wednesday,18:48,17h-19h,text+photo,Relation,209,27,1,237,Engagement très fort
Monday,13:01,11h-14h,text+link+photo,Identite,56,0,1,57,Engagement intermédiaire
Saturday,22:51,Après 19h,photo,Identite,187,1,1,189,Engagement fort
Monday,15:30,14h-17h,text+link+photo,Identite,54,17,1,72,Engagement intermédiaire
Friday,14:49,14h-17h,text+link+photo,Identite,103,18,1,122,Engagement fort
Thursday,19:14,Après 19h,text+link,Information,67,26,1,94,Engagement fort
Thursday,16:17,14h-17h,text+link+photo,Identite,30,10,1,41,Engagement intermédiaire
Friday,15:10,14h-17h,text+link+photo,Identite,109,11,1,121,Engagement fort
Friday,15:26,14h-17h,text+link+photo,Identite,68,6,1,75,Engagement intermédiaire
Tuesday,7:56,Avant 9h,photo,Identite,52,0,1,53,Engagement intermédiaire
Friday,15:43,14h-17h,text+photo,Identite,76,8,1,85,Engagement fort
Friday,22:59,Après 19h,text+photo,Information,126,8,1,135,Engagement fort
Thursday,12:00,11h-14h,text+link+photo,Recherche,82,11,1,94,Engagement fort
Tuesday,10:37,9h-11h,text+link+photo,Identite,32,4,1,37,Engagement intermédiaire
Monday,11:43,11h-14h,text+photo,Identite,17,7,1,25,engagement faible
Thursday,11:21,11h-14h,link,Identite,102,7,1,110,Engagement fort
Wednesday,14:37,14h-17h,text+photo,Identite,40,21,1,62,Engagement intermédiaire
Tuesday,13:30,11h-14h,text+link,Education,4,0,1,5,pas d'engagement
Tuesday,10:19,9h-11h,text+photo,Education,9,0,1,10,pas d'engagement
Tuesday,8:07,Avant 9h,text+link,Information,221,9,1,231,Engagement très fort
Friday,13:07,11h-14h,text+photo,Identite,67,1,1,69,Engagement intermédiaire
Friday,13:50,11h-14h,text+photo,Identite,170,10,1,181,Engagement fort
Tuesday,11:32,11h-14h,text+video,Identite,40,3,1,44,Engagement intermédiaire
Thursday,8:49,Avant 9h,text+link+photo,Identite,16,0,1,17,engagement faible
Tuesday,15:21,14h-17h,text+photo,Identite,22,0,1,23,engagement faible
Wednesday,12:37,11h-14h,text+link,Relation,86,13,1,100,Engagement fort
Friday,11:08,11h-14h,text+link,Identite,57,5,1,63,Engagement intermédiaire
Monday,9:10,9h-11h,text+photo,Relation,76,2,1,79,Engagement intermédiaire
Wednesday,16:40,14h-17h,link,Relation,74,0,1,75,Engagement intermédiaire
Wednesday,12:00,11h-14h,text+photo,Identite,117,1,1,119,Engagement fort
Monday,8:41,Avant 9h,link,Identite,64,1,1,66,Engagement intermédiaire
Thursday,10:32,9h-11h,text+video,Identite,156,12,1,169,Engagement fort
Wednesday,13:00,11h-14h,link,Identite,38,0,1,39,Engagement intermédiaire
Wednesday,21:34,Après 19h,link,Identite,52,1,1,54,Engagement intermédiaire
Tuesday,12:55,11h-14h,link,Identite,60,1,1,62,Engagement intermédiaire
Tuesday,15:37,14h-17h,text+photo,Identite,32,17,1,50,Engagement intermédiaire
Thursday,15:38,14h-17h,text+link+photo,Relation,24,0,1,25,engagement faible
Tuesday,11:00,9h-11h,link,Identite,65,2,1,68,Engagement intermédiaire
Monday,9:24,9h-11h,text+photo,Identite,24,7,1,32,Engagement intermédiaire
